Date;Close;%;
2000-01-27;778,85;8,039;
2000-02-24;842,7;8,198;
2000-03-30;720,15;14,543;
2000-04-27;574,95;20,162;
2000-05-25;654,55;13,845;
2000-06-29;798,85;22,046;
2000-07-27;736,65;7,786;
2000-08-31;775,95;5,335;
2000-09-28;709,7;8,538;
2000-10-26;767,6;8,158;
2000-11-30;817,25;6,468;
2000-12-28;892,1;9,159;
2001-01-25;902,55;1,171;
2001-02-22;819,6;9,191;
2001-03-29;811,9;0,939;
2001-04-26;851,55;4,884;
2001-05-31;796,05;6,518;
2001-06-28;772,2;2,996;
2001-07-26;778,9;0,868;
2001-08-30;721,25;7,401;
2001-09-27;597,8;17,116;
2001-10-25;676,45;13,157;
2001-11-29;667,3;1,353;
2001-12-27;666,05;0,187;
2002-01-31;694,35;4,249;
2002-02-28;743,2;7,035;
2002-03-28;696,7;6,257;
2002-04-25;612,85;12,035;
2002-05-30;607,5;0,873;
2002-06-27;640,5;5,432;
2002-07-25;620,2;3,169;
2002-08-29;702,1;13,205;
2002-09-26;653,65;6,901;
2002-10-31;614,15;6,043;
2002-11-28;642,05;4,543;
2002-12-26;661,75;3,068;
2003-01-30;628,6;5,009;
2003-02-27;640,7;1,925;
2003-03-27;626,95;2,146;
2003-04-24;663,1;5,766;
2003-05-29;688,5;3,83;
2003-06-26;768,1;11,561;
2003-07-31;717,5;6,588;
2003-08-28;817;13,868;
2003-09-25;811,55;0,667;
2003-10-30;860,4;6,019;
2003-11-27;855,25;0,599;
2003-12-24;976,9;14,224;
2004-01-29;1 028,7;5,302;
2004-02-26;1 091,65;6,119;
2004-03-25;1 069;2,075;
2004-04-29;1 066,15;0,267;
2004-05-27;915,1;14,168;
2004-06-24;860,85;5,928;
2004-07-29;1 046,75;21,595;
2004-08-26;1 043,45;0,315;
2004-09-30;1 137,15;8,98;
2004-10-28;1 086,25;4,476;
2004-11-25;1 273,65;17,252;
2004-12-30;1 294,3;1,621;
2005-01-27;1 384,4;6,961;
2005-02-24;1 294,5;6,494;
2005-03-31;1 342,05;3,673;
2005-04-28;1 450,3;8,066;
2005-05-26;1 531,65;5,609;
2005-06-30;1 662,1;8,517;
2005-07-27;1 692,6;1,835;
2005-08-25;1 708,3;0,928;
2005-09-29;138,4;91,898;
2005-10-27;115,7;16,402;
2005-11-24;134,95;16,638;
2005-12-29;139,4;3,298;
2006-01-25;157,75;13,164;
2006-02-23;166;5,23;
2006-03-30;200,6;20,843;
2006-04-27;202,8;1,097;
2006-05-25;181,4;10,552;
2006-06-29;175,8;3,087;
2006-07-27;166,95;5,034;
2006-08-31;191,5;14,705;
2006-09-28;184,3;3,76;
2006-10-26;184,1;0,109;
2006-11-30;185,1;0,543;
2006-12-28;177,9;3,89;
2007-01-25;177,85;0,028;
2007-02-22;174,45;1,912;
2007-03-29;146,95;15,764;
2007-04-26;161,55;9,935;
2007-05-31;163,8;1,393;
2007-06-28;155,1;5,311;
2007-07-26;167,7;8,124;
2007-08-30;171,6;2,326;
2007-09-27;185,45;8,071;
2007-10-25;182,9;1,375;
2007-11-29;185,75;1,558;
2007-12-27;203,55;9,583;
2008-01-31;195,55;3,93;
2008-02-28;202,25;3,426;
2008-03-27;200,1;1,063;
2008-04-24;209,95;4,923;
2008-05-29;215,95;2,858;
2008-06-26;191,75;11,206;
2008-07-31;186,8;2,581;
2008-08-28;183,5;1,767;
2008-09-25;188,05;2,48;
2008-10-29;153,1;18,585;
2008-11-26;172,4;12,606;
2008-12-24;172,35;0,029;
2009-01-29;175,45;1,799;
2009-02-26;184,05;4,902;
2009-03-26;185,1;0,57;
2009-05-28;183,9;0,648;
2009-06-25;193,15;5,03;
2009-07-30;242,7;25,654;
2009-08-27;239,9;1,154;
2009-09-24;232,55;3,064;
2009-10-29;259,3;11,503;
2009-11-26;261,3;0,771;
2009-12-31;250,8;4,018;
2010-01-28;254,25;1,376;
2010-02-25;247,6;2,616;
2010-03-25;264,75;6,926;
2010-04-29;267,15;0,907;
2010-05-27;275,9;3,275;
2010-06-24;305,75;10,819;
2010-07-29;310,1;1,423;
2010-08-26;163,9;47,146;
2010-09-30;178,3;8,786;
2010-10-28;167,05;6,31;
2010-11-25;169,7;1,586;
2010-12-30;174,55;2,858;
2011-01-27;167,8;3,867;
2011-02-24;150,65;10,221;
2011-03-31;182,1;20,876;
2011-04-28;191,85;5,354;
2011-05-26;187;2,528;
2011-06-30;202,95;8,529;
2011-07-28;206,25;1,626;
2011-08-25;202,35;1,891;
2011-09-29;202,25;0,049;
2011-10-26;212,2;4,92;
2011-11-24;192,3;9,378;
2011-12-29;200,7;4,368;
2012-01-25;206,05;2,666;
2012-02-23;208,6;1,238;
2012-03-29;224,55;7,646;
2012-04-26;249,05;10,911;
2012-05-31;229,35;7,91;
2012-06-28;251,3;9,571;
2012-07-26;249,45;0,736;
2012-08-30;270,6;8,479;
2012-09-27;266,95;1,349;
2012-10-25;292,05;9,403;
2012-11-29;298;2,037;
2012-12-27;288,4;3,221;
2013-01-31;307,65;6,675;
2013-02-28;294,8;4,177;
2013-03-28;309,45;4,969;
2013-04-25;319,85;3,361;
2013-05-30;354,3;10,771;
2013-06-27;321,7;9,201;
2013-07-25;358,9;11,564;
2013-08-29;305,55;14,865;
2013-09-26;349,3;14,318;
2013-10-31;335;4,094;
2013-11-28;313,5;6,418;
2013-12-26;320,25;2,153;
2014-01-30;324,6;1,358;
2014-02-26;328,75;1,278;
2014-03-27;359,9;9,475;
2014-04-23;353,2;1,862;
2014-05-29;342,5;3,029;
2014-06-26;316,25;7,664;
2014-07-31;356,05;12,585;
2014-08-28;355,3;0,211;
2014-09-25;376,65;6,009;
2014-10-30;354,9;5,775;
2014-11-27;360,6;1,606;
2014-12-24;371,4;2,995;
2015-01-29;370,2;0,323;
2015-02-26;395,65;6,875;
2015-03-26;322,4;18,514;
2015-04-30;322,35;0,016;
2015-05-28;321,45;0,279;
2015-06-25;312,35;2,831;
2015-07-30;315,95;1,153;
2015-08-27;325,7;3,086;
2015-09-24;322,55;0,967;
2015-10-29;350;8,51;
2015-11-26;342,8;2,057;
2015-12-31;327,8;4,376;
2016-01-28;318,55;2,822;
2016-02-25;286,2;10,155;
2016-03-31;328,25;14,693;
2016-04-28;322,9;1,63;
2016-05-26;362,45;12,248;
2016-06-30;368,4;1,642;
2016-07-28;254,3;30,972;
2016-08-25;253,45;0,334;
2016-09-29;245,7;3,058;
2016-10-27;243,1;1,058;
2016-11-24;223,5;8,063;
2016-12-29;236;5,593;
2017-01-25;265,5;12,5;
2017-02-23;265,65;0,056;
2017-03-30;282,75;6,437;
2017-04-27;285,8;1,079;
2017-05-25;300,05;4,986;
2017-06-29;311,6;3,849;
2017-07-27;288,55;7,397;
2017-08-31;282,25;2,183;
2017-09-28;261,55;7,334;
2017-10-26;268,4;2,619;
2017-11-30;256,05;4,601;
2017-12-28;261,85;2,265;
2018-01-25;281,25;7,409;
2018-02-22;267,1;5,031;
2018-04-26;278,25;4,174;
2018-05-31;271,65;2,372;
2018-06-28;260,5;4,105;
2018-07-26;287,2;10,25;
2018-08-30;319,85;11,368;
2018-09-27;293,3;8,301;
2018-10-25;287,55;1,96;
2018-11-29;287,55;0;
2018-12-27;280,75;2,365;
2019-01-31;278,65;0,748;
2019-02-28;276,05;0,933;
2019-03-28;300;8,676;
2019-04-25;304,15;1,383;
2019-05-30;288,65;5,096;
2019-06-27;273,5;5,249;
2019-07-25;267,85;2,066;
2019-08-29;241,2;9,95;
2019-09-26;250,4;3,814;
2019-10-31;257,65;2,895;
2019-11-28;246,7;4,25;
2019-12-26;236,8;4,013;
2020-01-30;234,05;1,161;
2020-02-27;197,55;15,595;
2020-03-26;156,4;20,83;
2020-04-30;182,05;16,4;
2020-05-28;190,65;4,724;
2020-06-25;202,1;6,006;
2020-07-30;193,35;4,33;
2020-08-27;194,25;0,465;
2020-09-24;166,55;14,26;
2020-10-29;163,85;1,621;
2020-11-26;194,8;18,889;
2020-12-31;209;7,29;
2021-01-28;206,6;1,148;
2021-02-25;209,15;1,234;
2021-03-25;211,6;1,171;
0-5%;132;
5-10%;71;
10% < ;50;
